Iteration	Residual_2norm
1635	3.893033
1636	3.889757
1637	3.886488
1638	3.883224
1639	3.879967
1640	3.876716
1641	3.873471
1642	3.870233
1643	3.867000
1644	3.863774
1645	3.860553
1646	3.857339
1647	3.854131
1648	3.850928
1649	3.847732
1650	3.844542
1651	3.841358
1652	3.838179
1653	3.835007
1654	3.831840
1655	3.828680
1656	3.825525
1657	3.822376
1658	3.819233
1659	3.816096
1660	3.812964
1661	3.809839
1662	3.806719
1663	3.803605
1664	3.800496
1665	3.797394
1666	3.794297
1667	3.791205
1668	3.788120
1669	3.785040
1670	3.781965
1671	3.778897
1672	3.775834
1673	3.772776
1674	3.769724
1675	3.766678
1676	3.763637
1677	3.760601
1678	3.757571
1679	3.754547
1680	3.751528
1681	3.748514
1682	3.745506
1683	3.742504
1684	3.739506
1685	3.736514
1686	3.733528
1687	3.730547
1688	3.727571
1689	3.724600
1690	3.721635
1691	3.718675
1692	3.715720
1693	3.712771
1694	3.709827
1695	3.706888
1696	3.703954
1697	3.701025
1698	3.698102
1699	3.695184
1700	3.692271
1701	3.689363
1702	3.686460
1703	3.683562
1704	3.680670
1705	3.677782
1706	3.674900
1707	3.672022
1708	3.669150
1709	3.666283
1710	3.663420
1711	3.660563
1712	3.657711
1713	3.654863
1714	3.652021
1715	3.649183
1716	3.646350
1717	3.643523
1718	3.640700
1719	3.637882
1720	3.635069
1721	3.632261
1722	3.629457
1723	3.626659
1724	3.623865
1725	3.621076
1726	3.618292
1727	3.615512
1728	3.612738
1729	3.609968
1730	3.607203
1731	3.604442
1732	3.601686
1733	3.598935
1734	3.596189
1735	3.593447
1736	3.590710
1737	3.587978
1738	3.585250
1739	3.582526
1740	3.579808
1741	3.577094
1742	3.574384
1743	3.571680
1744	3.568979
1745	3.566283
1746	3.563592
1747	3.560905
1748	3.558223
1749	3.555545
1750	3.552872
1751	3.550203
1752	3.547539
1753	3.544879
1754	3.542223
1755	3.539572
1756	3.536926
1757	3.534283
1758	3.531645
1759	3.529012
1760	3.526383
1761	3.523758
1762	3.521137
1763	3.518521
1764	3.515909
1765	3.513302
1766	3.510699
1767	3.508100
1768	3.505505
1769	3.502914
1770	3.500328
1771	3.497746
1772	3.495168
1773	3.492595
1774	3.490025
1775	3.487460
1776	3.484899
1777	3.482342
1778	3.479789
1779	3.477241
1780	3.474696
1781	3.472156
1782	3.469620
1783	3.467088
1784	3.464560
1785	3.462036
1786	3.459516
1787	3.457000
1788	3.454488
1789	3.451981
1790	3.449477
1791	3.446977
1792	3.444482
1793	3.441990
1794	3.439502
1795	3.437018
1796	3.434539
1797	3.432063
1798	3.429591
1799	3.427123
1800	3.424659
1801	3.422199
1802	3.419743
1803	3.417290
1804	3.414842
1805	3.412397
1806	3.409957
1807	3.407520
1808	3.405087
1809	3.402658
1810	3.400232
1811	3.397811
1812	3.395393
1813	3.392979
1814	3.390569
1815	3.388163
1816	3.385760
1817	3.383361
1818	3.380966
1819	3.378575
1820	3.376187
1821	3.373803
1822	3.371423
